Year;Month;Day;Sn;Sn_description;Tavg;diff
2005;2;1;61;0;-3,45000000000000e+01;0
2005;2;2;61;0;-3,31625000000000e+01;0
2005;2;3;61;0;-3,50250000000000e+01;0
2005;2;4;61;0;-2,93125000000000e+01;0
2005;2;5;61;0;-2,36428571428571e+01;0
2005;2;6;61;0;-2,66250000000000e+01;0
2005;2;7;61;0;-2,40000000000000e+01;0
2005;2;8;60;0;-2,21285714285714e+01;0
2005;2;9;60;0;-2,25142857142857e+01;0
2005;2;10;60;0;-1,92500000000000e+01;0
2005;2;11;60;0;-2,26600000000000e+01;0
2005;2;12;60;0;-2,24250000000000e+01;0
2005;2;13;60;0;-2,72285714285714e+01;0
2005;2;14;50;0;-2,81000000000000e+01;0
2005;2;15;60;0;-2,28125000000000e+01;0
2005;2;16;60;0;-2,11000000000000e+01;0
2005;2;17;60;0;-1,98875000000000e+01;0
2005;2;18;60;0;-1,94000000000000e+01;0
2005;2;19;60;0;-2,00000000000000e+01;0
2005;2;20;60;0;-2,39625000000000e+01;0
2005;2;21;60;0;-2,75875000000000e+01;0
2005;2;22;60;0;-2,94125000000000e+01;0
2005;2;23;60;0;-2,61285714285714e+01;0
2005;2;24;54;0;-1,41250000000000e+01;0
2005;2;25;56;0;-1,55500000000000e+01;0
2005;2;26;57;0;-1,68500000000000e+01;0
2005;2;27;56;0;-1,61000000000000e+01;0
2005;2;28;57;0;-1,59375000000000e+01;0
2005;3;1;57;0;-1,38750000000000e+01;0
2005;3;2;57;0;-7,97500000000000e+00;0
2005;3;3;57;0;-1,11428571428571e+00;4
2005;3;4;56;0;-1,25125000000000e+01;0
2005;3;5;57;0;-1,59125000000000e+01;0
2005;3;6;0;0;-2,15857142857143e+01;0
2005;3;7;0;0;-2,37250000000000e+01;0
2005;3;8;0;0;-1,43285714285714e+01;0
2005;3;9;0;0;-1,75857142857143e+01;0
2005;3;10;57;0;-1,28571428571429e+01;0
2005;3;11;57;0;-1,02428571428571e+01;0
2005;3;12;53;0;-6,62500000000000e+00;0
2005;3;13;57;0;-8,66250000000000e+00;0
2005;3;14;57;0;-1,57250000000000e+01;0
2005;3;15;57;0;-2,02625000000000e+01;0
2005;3;16;58;0;-7,33750000000000e+00;0
2005;3;17;59;0;-3,75000000000000e+00;0
2005;3;18;49;0;-1,24714285714286e+01;0
2005;3;19;49;0;-1,88125000000000e+01;0
2005;3;20;50;0;-1,25750000000000e+01;0
2005;3;21;50;0;-1,52125000000000e+01;0
2005;3;22;54;0;-3,40000000000000e+00;2
2005;3;23;55;0;-3,62500000000000e+00;0
2005;3;24;55;0;-7,13750000000000e+00;0
2005;3;25;55;0;-5,20000000000000e+00;0
2005;3;26;56;0;-8,95714285714286e+00;0
2005;3;27;54;0;-1,00000000000000e+00;2
2005;3;28;55;0;-2,45000000000000e+00;2
2005;3;29;55;0;-3,05000000000000e+00;1
2005;3;30;55;0;1,68750000000000e+00;1
2005;3;31;48;0;1,61428571428571e+00;1
2005;4;1;47;0;-4,36250000000000e+00;0
2005;4;2;47;0;-6,20000000000000e+00;0
2005;4;3;46;0;-1,14500000000000e+01;0
2005;4;4;0;0;-1,02000000000000e+01;0
2005;4;5;46;0;-3,63750000000000e+00;1
2005;4;6;46;0;-5,21250000000000e+00;0
2005;4;7;46;0;-8,95000000000000e+00;0
2005;4;8;46;0;-2,57500000000000e+00;2
2005;4;9;48;0;-1,65857142857143e+01;0
2005;4;10;48;0;-1,24500000000000e+01;0
2005;4;11;48;0;-7,40000000000000e+00;0
2005;4;12;48;0;-9,91250000000000e+00;0
2005;4;13;48;0;2,03750000000000e+00;1
2005;4;14;48;0;3,73750000000000e+00;2
2005;4;15;47;0;-4,37500000000000e-01;1
2005;4;16;41;0;-8,73750000000000e+00;0
2005;4;17;41;0;-4,17500000000000e+00;2
2005;4;18;38;0;8,75000000000000e-01;1
2005;4;19;35;0;3,20000000000000e+00;0
2005;4;20;32;0;3,51428571428571e+00;0
2005;4;21;29;0;2,15714285714286e+00;2
2005;4;22;24;0;2,21250000000000e+00;0
2005;4;23;20;0;4,17500000000000e+00;0
2005;4;24;8;1;1,74285714285714e+00;0
2005;4;25;6;1;2,63750000000000e+00;2
2005;4;26;3;0;1,95714285714286e+00;0
2005;4;27;2;0;-2,17500000000000e+00;0
2005;4;28;2;1;-6,15000000000000e+00;0
2005;4;29;2;1;-6,13750000000000e+00;0
2005;4;30;1;1;-3,70000000000000e+00;2
2005;5;1;1;1;-2,86250000000000e+00;2
2005;5;2;1;1;-1,76666666666667e+00;2
2005;5;3;1;1;-5,73750000000000e+00;0
2005;5;4;0;0;-2,23333333333333e+00;2
2005;5;5;1;1;-2,37500000000000e-01;1
2005;5;6;1;1;2,98750000000000e+00;2
2005;5;7;1;1;6,02500000000000e+00;1
2005;5;8;1;1;5,75714285714286e+00;0
2005;5;9;1;1;-2,33333333333333e-01;4
2005;5;10;0;1;3,81250000000000e+00;0
2005;5;11;0;1;1,95000000000000e+00;2
2005;5;12;0;1;2,56250000000000e+00;1
2005;5;13;0;1;3,85000000000000e+00;2
2005;5;14;0;0;3,63750000000000e+00;0
2005;5;15;0;1;3,60000000000000e+00;0
2005;5;16;0;0;7,58333333333333e+00;0
2005;5;17;0;0;1,05000000000000e+01;0
2005;5;18;0;0;8,52000000000000e+00;0
2005;5;19;0;0;1,08500000000000e+01;0
2005;5;20;0;0;1,08500000000000e+01;0
2005;5;21;0;0;9,90000000000000e+00;0
