Year;count;catch
1981;6;cyclic
1982;1;cyclic
1984;10;cyclic
1986;6;cyclic
1993;1;non-cyclic
1979;2;cyclic
1980;5;cyclic
1985;1;cyclic
1987;11;cyclic
1988;4;cyclic
1989;5;cyclic
1990;3;cyclic
1991;15;non-cyclic
1992;5;non-cyclic
1994;6;non-cyclic
1995;11;NA
1997;5;NA
1998;2;NA
1999;2;NA
2000;2;NA
2001;2;NA
2002;4;NA
2003;1;NA
2004;3;NA
2006;16;NA
2007;27;non-cyclic
2008;20;non-cyclic
2009;15;non-cyclic
2010;17;non-cyclic
2011;23;non-cyclic
2012;18;non-cyclic
2013;4;non-cyclic
2015;4;non-cyclic
2018;3;cyclic
2019;3;cyclic
2005;11;NA
2016;1;non-cyclic
2020;1;cyclic
2021;1;cyclic
2023;2;cyclic
