Year;Spec
1980;C._rutilus
1981;C._rutilus
1981;M._oeconomus
1981;S._araneus
1981;S._caecutiens
1985;C._rutilus
1985;M._oeconomus
1985;S._araneus
1985;S._caecutiens
1985;S._isodon
1986;S._caecutiens
1988;S._caecutiens
1989;C._rutilus
1989;M._oeconomus
1989;S._araneus
1989;S._isodon
1990;C._rutilus
1990;M._oeconomus
1990;S._araneus
1990;S._caecutiens
1990;S._isodon
1991;M._oeconomus
1992;C._rutilus
1992;S._caecutiens
1993;C._rutilus
1993;S._araneus
1993;S._caecutiens
1993;S._isodon
1994;C._rutilus
1994;S._araneus
1994;S._caecutiens
2009;S._araneus
2009;S._caecutiens
2009;S._isodon
2010;S._araneus
2011;S._araneus
2012;C._rutilus
2012;M._oeconomus
2012;S._araneus
2012;S._caecutiens
2013;M._oeconomus
2014;S._araneus
2014;S._caecutiens
2016;C._rutilus
2016;M._oeconomus
2017;C._rutilus
2017;M._oeconomus
2017;S._araneus
2017;S._caecutiens
2018;M._oeconomus
2019;S._araneus
2019;S._caecutiens
2020;M._oeconomus
2020;S._isodon
2021;C._rutilus
2021;S._caecutiens
2021;S._isodon
2023;C._rutilus
2023;M._oeconomus
2023;S._isodon
